,Unnamed: 0,Unnamed: 0.1,Age,DistanceFromHome,Attrition
0,80,1083,43,5,No
1,38,1338,63,1,No
2,38,756,73,7,No
3,29,1209,44,11,Yes
4,80,630,19,4,Yes
5,53,1307,62,2,No
6,55,1281,31,6,No
7,92,755,37,6,No
8,41,1404,37,4,No
9,17,763,30,15,No
10,87,953,42,4,No
11,58,545,38,3,No
12,63,127,35,5,No
13,15,399,47,13,No
14,9,278,43,1,No
15,7,853,37,7,No
16,92,1393,29,7,No
17,88,109,52,14,No
18,7,149,49,4,No
19,40,194,29,2,No
20,99,1308,41,1,No
21,46,1178,35,21,No
22,78,1412,55,7,Yes
23,61,532,45,5,No
24,44,1446,40,7,No
25,89,322,25,5,No
26,11,1228,37,3,No
27,33,1442,22,4,No
28,96,1440,28,394,No
29,45,1305,35,1,No
30,13,569,46,9,No
31,61,532,31,3,Yes
32,74,321,36,1,No
33,95,1122,35,3,No
34,69,24,31,13,No
35,89,83,39,20,No
36,19,1445,32,3,No
37,22,864,33,1,No
38,19,958,55,2,No
39,79,183,41,19,No
40,28,542,46,14,No
41,49,366,27,7,No
42,26,1131,39,82,No
43,69,53,23,12,No
44,5,763,37,3,No
45,95,379,25,6,No
46,8,1300,45,44,No
47,4,1376,62,1,No
48,3,762,35,2,No
49,23,791,46,3,No
50,59,27,33,4,No
51,89,510,28,6,No
52,95,198,21,138,Yes
53,99,842,41,5,No
54,33,82,32,272,No
55,88,21,48,40,No
56,2,1418,27,2,No
57,92,456,40,22,No
58,93,813,42,7,No
59,10,1442,31,1,No
