,Unnamed: 0,Unnamed: 0.1,Age,DistanceFromHome,Attrition
0,17,1316,29,3,No
1,7,1263,37,5,No
2,37,637,31,0,No
3,66,1329,31,4,No
4,16,896,29,3,No
5,23,1060,24,3,No
6,55,341,24,5,No
7,37,1449,34,2,No
8,38,857,25,2,No
9,31,763,31,8,No
10,11,1041,35,1,No
11,53,-13,32,11,No
12,10,938,35,8,No
13,34,1307,37,3,No
14,10,1348,37,8,No
15,37,1214,37,7,No
16,9,1402,43,2,No
17,61,738,26,1,No
18,54,373,32,1,No
19,28,962,29,4,No
20,45,1076,37,0,No
21,25,1105,29,6,No
22,56,1064,31,4,No
23,41,1010,29,1,No
24,42,963,26,4,No
25,61,1514,29,1,No
26,16,1169,42,-1,No
27,15,1139,26,1,No
28,42,1412,30,2,No
29,67,284,37,2,No
30,15,1262,31,0,No
31,43,868,40,7,No
32,49,1169,20,3,No
33,48,1047,26,2,No
34,27,1028,34,4,No
35,32,1384,33,2,No
36,49,984,21,19,No
37,42,1223,35,3,No
38,31,1242,43,2,No
39,29,1343,31,7,No
